/home/ccollins/allmols/8/noopt/cam/6hl13la6ea-6ia4dd-4aa4af4ae-.log,6hl13la6ea-6ia4dd-4aa4af4ae-,---,---,---,---,---,---,---,---,---,---
/home/ccollins/allmols/8/noopt/cam/12ee6de-4ae-12id4fh-12el12df-6la.log,12ee6de-4ae-12id4fh-12el12df-6la,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.56336742987,-1.9760906958,229,9.8872,-3002.2817667,2.0021,4.91666666667
/home/ccollins/allmols/8/noopt/cam/6hf12ie-13hh6li-12hh-12ia-4fa-13ea-.log,6hf12ie-13hh6li-12hh-12ia-4fa-13ea-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.52498102183,-0.882193064692,206,8.9910,-2640.8299945,1.8920,3.4
/home/ccollins/allmols/8/noopt/cam/4ei12lh4fh-13ia4ed-13le13dh-4fa.log,4ei12lh4fh-13ia4ed-13le13dh-4fa,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.3576310111,-1.33743951664,223,7.1462,-2814.7177864,0.1600,5.45
/home/ccollins/allmols/8/noopt/cam/13le13al4fa13fe12id-4df-6ih13lh-.log,13le13al4fa13fe12id-4df-6ih13lh-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.35817523878,-2.00820012876,222,12.2384,-2861.7440101,0.4490,6.73333333333
/home/ccollins/allmols/8/noopt/cam/4fd4af4da6ei-13hl13ef13ia-6li-.log,4fd4af4da6ei-13hl13ef13ia-6li-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.82022453669,-1.14559926044,220,1.4603,-2777.7333661,2.1435,5.81666666667
/home/ccollins/allmols/8/noopt/cam/12la6hl-13fd12ah-13le13il4ei12el-.log,12la6hl-13fd12ah-13le13il4ei12el-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.87519153209,-1.07185641019,227,1.8717,-2947.2053422,1.9313,5.05
/home/ccollins/allmols/8/noopt/cam/4fh4ie-13lh-6df-4ha13ae-12he6fd-.log,4fh4ie-13lh-6df-4ha13ae-12he6fd-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.877350086,-1.96983207752,222,7.0756,-2844.3323216,-0.4397,5.83333333333
/home/ccollins/allmols/8/noopt/cam/6hh6hf-13df4fd-13hi-4ha-4ef-.log,6hh6hf-13df4fd-13hi-4ha-4ef-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.98485340904,-1.05308055532,193,7.0367,-2481.8436727,2.1172,2.98333333333
/home/ccollins/allmols/8/noopt/cam/6eh6da12eh12fe4fh12ei13ae12hi-.log,6eh6da12eh12fe4fh12ei13ae12hi-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.64906493222,-1.35866439605,214,8.0537,-2772.2491794,1.7784,3.45
/home/ccollins/allmols/8/noopt/cam/6dh6af12fd4df12il-12dh-4ha-13fh-.log,6dh6af12fd4df12il-12dh-4ha-13fh-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.86349063703,-2.03949322019,217,6.9151,-2895.6745007,1.2004,3.9
